,Date,Dry Opium Farm-gate Price,Dry Opium Trader Price
0,10-Jan,95,102
0,10-Feb,95,101
0,10-Jun,125,134
0,10-Apr,100,110
0,10-May,124,134
0,10-Jun,125,134
0,10-Jul,172,187
0,10-Aug,202,209
0,10-Sep,207,226
0,10-Oct,204,220
0,10-Nov,213,228
0,10-Dec,241,257
0,11-Jan,267,280
0,11-Feb,276,291
0,11-Mar,274,289
0,11-Apr,256,273
0,11-May,250,265
0,11-Jun,261,274
0,11-Jul,260,267
0,11-Aug,254,264
0,11-Sep,246,262
0,11-Dec,243,256
0,12-Jan,234,249
0,12-Feb,231,244
0,12-Mar,220,232
0,12-Apr,210,222
0,12-May,219,231
0,12-Jun,215,225
0,12-Jul,203,212
0,12-Aug,211,221
0,12-Sep,204,213
0,12-Oct,193,201
0,12-Nov,185,190
0,12-Dec,191,199
0,13-Jan,191,201
0,13-Feb,181,189
0,13-Mar,178,186
0,13-Apr,159,168
0,13-May,160,168
0,13-Jun,142,151
0,13-Jul,143,152
0,13-Aug,141,151
0,13-Sep,134,143
0,13-Oct,143,153
0,13-Nov,146,156
0,13-Dec,144,154
0,14-Jan,147,157
0,14-Feb,142,150
0,14-Mar,141,149
0,14-Apr,133,143
0,14-May,129,138
0,14-Jun,133,141
0,14-Jul,132,140
0,14-Aug,137,145
0,14-Sep,139,146
0,14-Oct,137,145
0,14-Nov,140,148
0,14-Dec,142,149
0,15-Jan,143,150
0,15-Feb,137,144
0,15-Mar,144,151
0,15-Apr,147,154
0,15-May,167,174
0,15-Jun,159,165
0,15-Jul,160,167
0,15-Aug,152,159
0,15-Sep,155,164
0,15-Oct,157,165
0,15-Nov,165,173
0,15-Dec,185,195
0,Jan_2017,199,207
0,Feb_2017,195,202
0,Mar_2017,179,187
0,Apr_2017,158,165
0,May_2017,156,163
0,June_2017,154,162
0,July_2017,137,138
0,August_2017,136,143
0,September_2017,133,140
0,October_2017,127,134
0,November_2017,120,127
0,December_2017,118,126
0,January_2018,111,117
0,February_2018,113,119
0,March_2018,107,114
0,April_2018,103,111
0,May_2018,101,109
0,June_2018,112,119
0,Jul_2018,91,99
0,Aug_2018,88,94
0,Sep_2018,82,88
0,Oct_2018,78,84
0,Nov_2018,80,87
0,Dec_2018,83,89
0,Jan_2019,84,90
0,Feb_2019,79,84
0,Mar_2019,73,78
0,Apr_2019,67,72
0,May_2019,61,65
0,June_2019,59,63
0,July_2019,66,77
0,August_2019,70,74
0,September_2019,78,82
0,October_2019,79,83
0,November_2019,81,87
0,December_2019,79,83
0,January_2020,80,84
0,February_2020,77,81
0,March_2020,71,75
0,April_2020,72,76
0,May_2020,69,73
