,Date,"Eastern region (Kunar, Laghman, Nangarhar)","Southern region (Hilmand, Kandahar)","Western region (Badghis, Farah, Ghor, Hirat, Nimroz)","North-eastern region (Badakhshan, Takhar)","Northern region (Baghlan, Balkh, Faryab)"
0,Jan-17,239,181,294,94,134
0,Feb-17,222,182,290,98,131
0,Mar-17,206,162,266,92,124
0,Apr-17,192,152,221,82,103
0,May-17,187,163,252,67,98
0,Jun-17,187,149,246,54,88
0,Jul-17,181,113,207,63,82
0,Aug-17,168,120,213,63.3,80
0,Sep-17,155,117,212,70,77
0,Oct-17,144,114,197,73,73
0,Nov-17,123,112,189,73,77
0,Dec-17,114,103,198,74,74
0,Jan-18,106,96,175,78,77
0,Feb-18,104,95,194,72,74
0,Mar-18,93,88,196,67,62
0,Apr-18,96,90,178,58,64
0,May-18,107,87,165,62,57
0,Jun,110,85,213,46,59
0,Jul-18,98,80,135,70,56
0,Aug-18,110,81,117,68,54
0,Sep-18,98,79,112,63,51
0,Oct-18,97,76,104,42,59
0,Nov-18,99,79,110,45,57
0,Dec-18,103,79,112,46,64
0,Jan-19,107,86,102,51,62
0,Feb-19,108,84,98,39,55
0,Mar-19,106,80,88,34,48
0,Apr-19,96,72,82,32,46
0,May-19,87,64,73,33,39
0,Jun-19,83,63,66,38,40
0,Jul-19,87,65,78,45,49
0,Aug-19,93,70,84,39,57
0,Sep-19,98,71,95,56,61
0,Oct-19,107,70,100,51,57
0,Nov-19,110,68,106,56,54
0,Dec-19,104,69,99,57,56
0,Jan-20,111,64,110,45,54
0,Feb-20,110,61,100,44,54
0,Mar-20,99,56,91,43.9,52
0,Apr-20,103,54,86,48,53
0,May-20,102,53,79,41,54
0,Jun-20,94,52,82,44,44
