,0,1,2,3,,,
0,Dry Opium,10-Jan,11-Jan,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",95,267,181%,,,
2,"Trader price 
(US$/Kg)",102,280,175%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Jan,11-Jan,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",72,234,225%,,,
2,"Trader price 
(US$/Kg)",79,234,196%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Feb,11-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",73,251,244%,,,
2,"Trader price 
(US$/Kg)",80,259,224%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Mar,11-Mar,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",79,253,220%,,,
2,"Trader price 
(US$/Kg)",85,262,208%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Apr,11-Apr,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",85,227,168%,,,
2,"Trader price 
(US$/Kg)",91,237,161%,,,
,0,1,2,3,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0,Dry Opium,10-Jun,11-Jun,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",125,261,108%,,,
2,"Trader price 
(US$/Kg)",134,274,104%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Jun,11-Jun,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",110,221,101%,,,
2,"Trader price 
(US$/Kg)",115,231,101%,,,
,0,1,2,3,,,
0,Fresh Opium,Dry Opium,,,,,
1,"174 
174","199 
187","Farm-gate price 
Trader price",Number of observations (n),,,
2,10,15,"collected 
provinces price 
Number of",,,,
,0,1,2,3,,,
0,Dry Opium,10-Jul,11-Jul,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",172,260,51%,,,
2,"Trader price 
(US$/Kg)",187,267,43%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Jul,11-Jul,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",148,212,43%,,,
2,"Trader price 
(US$/Kg)",158,222,41%,,,
,0,1,2,3,,,
0,Fresh Opium,Dry Opium,,,,,
1,"174 
174","199 
187","Farm-gate price 
Trader price",Number of observations (n),,,
2,12,15,"collected 
provinces price 
Number of",,,,
,0,1,2,3,,,
0,Fresh Opium,10-Aug,11-Aug,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",161,214,33%,,,
2,"Trader price 
(US$/Kg)",172,218,27%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Sep,11-Sep,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",173,210,21%,,,
2,"Trader price 
(US$/Kg)",184,220,20%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Dec,11-Dec,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",223,186,-17%,,,
2,"Trader price 
(US$/Kg)",223,198,-11%,,,
,0,1,2,3,,,
0,Dry Opium,11-Jan,12-Jan,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",267,234,-12%,,,
2,"Trader price 
(US$/Kg)",281,249,-12%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Jan,12-Jan,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",234,180,-23%,,,
2,"Trader price 
(US$/Kg)",234,189,-19%,,,
,0,1,2,3,,,
0,Dry Opium,11-Feb,12-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",276,231,-16%,,,
2,"Trader price 
(US$/Kg)",291,244,-16%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Feb,12-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",251,176,-30%,,,
2,"Trader price 
(US$/Kg)",259,185,-28%,,,
,0,1,2,3,,,
0,Dry Opium,10-Feb,11-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",95,276,191%,,,
2,"Trader price 
(US$/Kg)",101,291,188%,,,
,0,1,2,3,,,
0,Fresh Opium,10-Feb,11-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",73,251,244%,,,
2,"Trader price 
(US$/Kg)",80,259,224%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Feb,12-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",251,176,-30%,,,
2,"Trader price 
(US$/Kg)",259,185,-28%,,,
,0,1,2,3,,,
0,Dry Opium,11-Mar,12-Mar,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",274,220,-20%,,,
2,"Trader price 
(US$/Kg)",289,232,-20%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Mar,12-Mar,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",253,159,-37%,,,
2,"Trader price 
(US$/Kg)",262,169,-35%,,,
,0,1,2,3,,,
0,Dry Opium,11-Apr,12-Apr,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",256,210,-18%,,,
2,"Trader price 
(US$/Kg)",273,222,-19%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Apr,12-Apr,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",227,158,-30%,,,
2,"Trader price 
(US$/Kg)",237,166,-30%,,,
,0,1,2,3,,,
0,Dry Opium,11-May,12-May,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",250,219,-12%,,,
2,"Trader price 
(US$/Kg)",265,231,-13%,,,
,0,1,2,3,,,
0,Fresh Opium,11-May,12-May,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",211,166,-21%,,,
2,"Trader price 
(US$/Kg)",219,172,-21%,,,
,0,1,2,3,,,
0,Dry Opium,11-Jun,12-Jun,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",261,215,-17%,,,
2,"Trader price 
(US$/Kg)",274,225,-18%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Jun,12-Jun,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",221,171,-23%,,,
2,"Trader price 
(US$/Kg)",231,177,-23%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
